elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
510.00213, 10.000856, 368, 793, 2002.6, 1873, 3132, 4783, 25392, 25392, 0
520.003264, 10.001134, 378, 919, 2328.3, 1883, 3108, 23228, 44247, 44247, 0
530.001656, 9.998392, 402, 873, 2039.9, 1891, 2831, 4299, 44247, 44247, 0
540.001517, 9.999861, 353, 717, 3559.8, 1885, 3031, 93408, 163272, 163272, 0
550.000871, 9.999354, 412, 783, 3026.4, 1816, 2875, 31119, 161565, 161565, 0
560.001882, 10.001011, 377, 848, 2100.9, 1916, 2862, 9315, 31074, 31074, 0
570.001887, 10.000005, 382, 930, 2059.5, 1896, 2901, 6551, 21870, 21870, 0
580.005875, 10.003988, 401, 750, 1744.6, 1760, 2760, 3794, 5897, 5897, 0
590.002241, 9.996366, 353, 713, 1858.8, 1866, 2618, 3465, 6072, 6072, 0
600.001073, 9.998832, 340, 897, 1873.3, 1864, 2767, 3669, 4330, 4330, 0
601.008119, 1.007046, 36, 897, 1874.2, 1854, 2770, 3669, 4330, 4330, 0
